"","matrix(sp_nm, dim(mySpeciesOcc)[1], 1)","pa","X","Y"
"25","Akekee",1,-159.657305,22.14387865
"30","Akekee",1,-159.654451,22.14321258
"33","Akekee",1,-159.6531863,22.14235038
"43","Akekee",1,-159.6506809,22.14158347
"56","Akekee",1,-159.6461876,22.14293836
"64","Akekee",1,-159.6429815,22.13734091
"75","Akekee",1,-159.6385545,22.14264318
"77","Akekee",1,-159.6363881,22.14391641
"99","Akekee",1,-159.6259873,22.14492329
"103","Akekee",1,-159.6229164,22.14124916
"105","Akekee",1,-159.6221167,22.1424176
"108","Akekee",1,-159.6211996,22.14336063
"111","Akekee",1,-159.6205063,22.14449252
"112","Akekee",1,-159.6199231,22.15304996
"117","Akekee",1,-159.6183907,22.1463435
"120","Akekee",1,-159.6177406,22.14626465
"121","Akekee",1,-159.6177754,22.1542506
"123","Akekee",1,-159.6173504,22.14128838
"125","Akekee",1,-159.6172019,22.14503806
"126","Akekee",1,-159.6171021,22.15329554
"127","Akekee",1,-159.6170456,22.14699904
"128","Akekee",1,-159.6170064,22.14024173
"129","Akekee",1,-159.6170216,22.14372881
"132","Akekee",1,-159.6169266,22.1419585
"133","Akekee",1,-159.6168214,22.13338559
"134","Akekee",1,-159.6167503,22.13933026
"138","Akekee",1,-159.6162468,22.14841137
"142","Akekee",1,-159.615824,22.14706689
"143","Akekee",1,-159.6156735,22.13700354
"152","Akekee",1,-159.6144864,22.14275367
"153","Akekee",1,-159.6141396,22.14551939
"157","Akekee",1,-159.612679,22.14638311
"158","Akekee",1,-159.6124057,22.15045849
"159","Akekee",1,-159.6122135,22.14639389
"160","Akekee",1,-159.6121388,22.1492941
"163","Akekee",1,-159.6111558,22.14622621
"165","Akekee",1,-159.6102429,22.14817195
"167","Akekee",1,-159.6098399,22.14690869
"169","Akekee",1,-159.6085312,22.14928049
"170","Akekee",1,-159.6084748,22.14743776
"177","Akekee",1,-159.6061577,22.14986751
"178","Akekee",1,-159.6057602,22.14761951
"179","Akekee",1,-159.6053859,22.13718658
"180","Akekee",1,-159.6053072,22.13238978
"183","Akekee",1,-159.6040678,22.13280091
"196","Akekee",1,-159.6021863,22.1349941
"198","Akekee",1,-159.6016145,22.15104069
"200","Akekee",1,-159.6013818,22.14421181
"207","Akekee",1,-159.6000456,22.13782965
"210","Akekee",1,-159.5997865,22.13617737
"212","Akekee",1,-159.5994008,22.15272013
"225","Akekee",1,-159.5972321,22.15589904
"232","Akekee",1,-159.5952259,22.13083686
"237","Akekee",1,-159.5938199,22.13083295
"246","Akekee",1,-159.592043,22.06982303
"248","Akekee",1,-159.5917209,22.06930022
"251","Akekee",1,-159.5911451,22.06832661
"252","Akekee",1,-159.5911375,22.11075991
"255","Akekee",1,-159.590142,22.11148623
"259","Akekee",1,-159.5892545,22.1125645
"261","Akekee",1,-159.5886843,22.0685794
"265","Akekee",1,-159.5879962,22.11306591
"268","Akekee",1,-159.5873251,22.14531096
"270","Akekee",1,-159.5868059,22.11361223
"274","Akekee",1,-159.5858921,22.08718169
"275","Akekee",1,-159.585674,22.11420351
"284","Akekee",1,-159.5836965,22.08837301
"288","Akekee",1,-159.5827318,22.12254348
"290","Akekee",1,-159.5821326,22.08048275
"294","Akekee",1,-159.5815829,22.11429944
"297","Akekee",1,-159.5810158,22.07998081
"299","Akekee",1,-159.5808286,22.0910754
"301","Akekee",1,-159.5806005,22.11825987
"303","Akekee",1,-159.5802157,22.1142501
"304","Akekee",1,-159.5800257,22.11995129
"305","Akekee",1,-159.5799438,22.11888556
"306","Akekee",1,-159.5796309,22.08027482
"309","Akekee",1,-159.5788781,22.11433615
"310","Akekee",1,-159.5783099,22.0914999
"311","Akekee",1,-159.5782544,22.08023452
"312","Akekee",1,-159.5778886,22.11421317
"313","Akekee",1,-159.577843,22.11966994
"314","Akekee",1,-159.5778088,22.12079029
"317","Akekee",1,-159.5769399,22.11456886
"318","Akekee",1,-159.5765723,22.11952988
"322","Akekee",1,-159.5757472,22.11450983
"323","Akekee",1,-159.5755183,22.12022019
"325","Akekee",1,-159.5747456,22.13290679
"327","Akekee",1,-159.57447,22.11994383
"328","Akekee",1,-159.5743202,22.11407218
"329","Akekee",1,-159.573571,22.09184183
"330","Akekee",1,-159.5733487,22.11360582
"334","Akekee",1,-159.572973,22.11898244
"336","Akekee",1,-159.5723851,22.11987887
"342","Akekee",1,-159.5710243,22.1190254
"345","Akekee",1,-159.5697647,22.11440433
"349","Akekee",1,-159.5684642,22.11409267
"351","Akekee",1,-159.5682908,22.09015281
"354","Akekee",1,-159.5673579,22.11383452
"356","Akekee",1,-159.5669098,22.06230528
"357","Akekee",1,-159.5667683,22.1264211
"359","Akekee",1,-159.5661281,22.08990736
"361","Akekee",1,-159.5661862,22.11661207
"367","Akekee",1,-159.5651389,22.062998
"368","Akekee",1,-159.5651306,22.1144927
"369","Akekee",1,-159.5649334,22.08932428
"370","Akekee",1,-159.5649969,22.11742926
"371","Akekee",1,-159.5649849,22.12415971
"372","Akekee",1,-159.5648173,22.09668751
"374","Akekee",1,-159.5640643,22.11453253
"375","Akekee",1,-159.5640799,22.12334074
"377","Akekee",1,-159.5640559,22.12217542
"378","Akekee",1,-159.5637771,22.06418618
"379","Akekee",1,-159.563981,22.11798385
"380","Akekee",1,-159.5637909,22.08965345
"383","Akekee",1,-159.5632275,22.11377655
"384","Akekee",1,-159.5626984,22.09528549
"385","Akekee",1,-159.5627323,22.118476
"386","Akekee",1,-159.5625784,22.08945887
"387","Akekee",1,-159.5626609,22.11271247
"388","Akekee",1,-159.5626317,22.12000311
"389","Akekee",1,-159.562369,22.06594366
"393","Akekee",1,-159.5618452,22.11237198
"394","Akekee",1,-159.5618107,22.1085597
"395","Akekee",1,-159.561698,22.1192836
"396","Akekee",1,-159.5616024,22.10737694
"397","Akekee",1,-159.561495,22.10964488
"399","Akekee",1,-159.5613096,22.08973426
"401","Akekee",1,-159.5611731,22.11160639
"402","Akekee",1,-159.5608518,22.10635866
"403","Akekee",1,-159.5607916,22.09356652
"404","Akekee",1,-159.5606071,22.11065975
"407","Akekee",1,-159.56013,22.10524994
"408","Akekee",1,-159.5595974,22.09310084
"409","Akekee",1,-159.5595442,22.10420399
"411","Akekee",1,-159.5592338,22.10170259
"413","Akekee",1,-159.5589871,22.09073598
"414","Akekee",1,-159.5589392,22.10320327
"415","Akekee",1,-159.5587834,22.1005568
"417","Akekee",1,-159.5581626,22.09307864
"418","Akekee",1,-159.5581396,22.09955621
"419","Akekee",1,-159.5579023,22.09096554
"421","Akekee",1,-159.5573988,22.09853788
"423","Akekee",1,-159.5566985,22.09052697
"424","Akekee",1,-159.5565711,22.09759211
"426","Akekee",1,-159.5555427,22.08994368
"427","Akekee",1,-159.5555695,22.09680955
"429","Akekee",1,-159.555331,22.08540021
"430","Akekee",1,-159.554655,22.09596344
"433","Akekee",1,-159.5537888,22.09510813
"437","Akekee",1,-159.5533251,22.07312053
"442","Akekee",1,-159.5526467,22.09307028
"443","Akekee",1,-159.5525138,22.06637474
"444","Akekee",1,-159.5522728,22.08665729
"446","Akekee",1,-159.5517616,22.09230537
"447","Akekee",1,-159.5515014,22.06774232
"448","Akekee",1,-159.5515476,22.08712048
"450","Akekee",1,-159.5510313,22.09148572
"451","Akekee",1,-159.5509982,22.08794444
"453","Akekee",1,-159.5501102,22.08891409
"454","Akekee",1,-159.5498664,22.09103793
"455","Akekee",1,-159.5492512,22.06982775
"456","Akekee",1,-159.5489501,22.08974009
"457","Akekee",1,-159.5487876,22.09033689
"459","Akekee",1,-159.5479352,22.09049334
"460","Akekee",1,-159.5478734,22.08955399
"462","Akekee",1,-159.5475729,22.07950899
"466","Akekee",1,-159.5470663,22.09141773
"467","Akekee",1,-159.5468602,22.07313324
"468","Akekee",1,-159.5466737,22.08009922
"469","Akekee",1,-159.5464407,22.0875532
"470","Akekee",1,-159.5463674,22.081094
"471","Akekee",1,-159.5461483,22.0921887
"472","Akekee",1,-159.546038,22.07357866
"473","Akekee",1,-159.5454852,22.0734992
"474","Akekee",1,-159.5454022,22.07208111
"475","Akekee",1,-159.5451955,22.07376216
"477","Akekee",1,-159.5451813,22.09278819
"478","Akekee",1,-159.5445969,22.07185794
"479","Akekee",1,-159.5444304,22.07394539
"480","Akekee",1,-159.5443566,22.08249198
"481","Akekee",1,-159.5438276,22.09371418
"482","Akekee",1,-159.5437259,22.07220413
"483","Akekee",1,-159.543158,22.08339034
"484","Akekee",1,-159.5428418,22.09447633
